CompanyID,RecruiterID
1111,10111
1112,10112
1113,10113
1114,10114
1115,10115
1116,10116
1117,10117
1118,10118
1119,10119
1120,10120
1121,10121
1122,10122
1123,10123
1124,10124
1125,10125
1126,10126
1127,10127
1128,10128
1129,10129
1130,10130
1131,10131
1132,10132
1133,10133
1134,10134
1135,10135
1136,10136
1137,10137
1138,10138
1139,10139
1140,10140
1141,10141
1142,10142
1143,10143
1144,10144
1145,10145
1146,10146
1147,10147
1148,10148
1149,10149
1150,10150
1151,10151
1152,10152
1153,10153
1154,10154
1155,10155
1156,10156
1157,10157
1158,10158
1159,10159
1160,10160
